Item Name,Item ID,Item Price,Per Pack,Price w. Tax,Unit Price,Sell Price,Profit,Markup,On Menu?,Selling?,Status
Extra Spearmint,ex_spmt,$9.19,8,$9.81,$1.23,$1.50,$0.27,22%,FALSE,TRUE,Ok Return
Extra Watermelon,ex_wtml,$3.79,3,$4.04,$1.35,$1.75,$0.40,30%,FALSE,TRUE,Good Return
5 Gum Rain,,$8.29,6,$8.85,$1.47,$1.75,$0.28,19%,FALSE,FALSE,Ok Return
5 Gum Cobalt,,$8.29,6,$8.85,$1.47,$1.75,$0.28,19%,FALSE,FALSE,Ok Return
5 Gum Watermelon,5_wtml,$18.87,10,$20.13,$2.01,$2.50,$0.49,24%,FALSE,TRUE,Good Return
Trident Classic,td_bbg,$3.69,3,$3.94,$1.31,$1.75,$0.44,33%,TRUE,TRUE,Good Return
Trident Orange,td_trpo,$3.28,3,$3.50,$1.17,$1.50,$0.33,29%,TRUE,TRUE,Good Return
Orbit Spearmint,o_spmt,$9.19,8,$9.81,$1.23,$1.50,$0.27,22%,TRUE,TRUE,Ok Return
Tic Tacs Fruit,tt_fruit,$4.39,4,$4.68,$1.17,$1.50,$0.33,28%,TRUE,TRUE,Good Return/Popular
Tic Tacs Orange,tt_orng,$17.04,12,$18.18,$1.52,$1.75,$0.23,16%,TRUE,TRUE,Bad Return but Popular
Tic Tacs Mini,,$22.98,60,$24.52,$0.41,$0.75,$0.34,84%,FALSE,FALSE,Great Return
Bubble Tape,,$1.69,1,$1.80,$1.80,$2.25,$0.45,25%,FALSE,FALSE,Good Return
Sour Patch Kids,,$34.99,24,$37.33,$1.56,$2.00,$0.44,29%,FALSE,FALSE,Good Return
Haribo Gold,,$23.99,54,$25.60,$0.47,$0.75,$0.28,58%,FALSE,FALSE,Great Return
Mentos Fruit,mt_fruit,$4.32,6,$4.61,$0.77,$1.00,$0.23,30%,FALSE,TRUE,Good Return
